"state","year","death_rate","gdp","pce","rpp","employment","hc_exp","income","edu_level","diabetes_rate","cardio_rate","smoke_rate","elder_rate","obesity_rate"
"Georgia",2018,46.5,57171.2692002411,37127.793383985,94.763,0.5982,5996.47174029132,45845.8181141497,0.319,0.126,0.071,0.161,0.138,32.5
"Georgia",2019,41.9,58469.2161176964,37759.4826917982,94.313,0.6027,6370.18041006749,47555.1176589649,0.325,0.12,0.064,0.163,0.143,33.1
"Georgia",2020,45.9,56135.270761097,36438.9718083086,94.417,0.5896,6110.47073634358,49677.6928763443,0.348,0.141,0.087,0.145,0.147,34.3
"Georgia",2021,44.5,59254.1974071445,39304.8257471314,95.784,0.6155,6912.87537324937,50577.932261769,0.346,0.144,0.077,0.131,0.147,33.9
"Hawaii",2018,20.2,62534.7302147765,37836.4528052722,110.836,0.6507,7035.58302765113,44762.785681754,0.335,0.115,0.056,0.134,0.184,24.9
"Hawaii",2019,19.1,62820.1560593048,38534.4861682412,111.634,0.6456,7524.05584685621,45964.9601093884,0.336,0.105,0.049,0.123,0.19,25
"Hawaii",2020,22.8,54851.9237541548,35226.109770696,112.709,0.5635,7169.94603192324,45865.9736479208,0.355,0.111,0.048,0.106,0.196,24.5
"Hawaii",2021,23.9,58128.9206262775,37402.1009512464,113.227,0.595,7780.44354643666,46513.5707740849,0.353,0.104,0.051,0.093,0.196,25
"Idaho",2018,35,44359.0420305552,35302.5587591458,91.682,0.5949,5957.66096784071,44069.073700855,0.277,0.102,0.06,0.147,0.159,28.4
"Idaho",2019,33.2,45471.9330298562,35194.8586089482,92.475,0.5952,6107.33241376223,45800.292658633,0.287,0.103,0.062,0.153,0.162,29.5
"Idaho",2020,36.7,44786.1293682356,34823.2372666696,90.959,0.5829,5720.52160878044,49071.2209915412,0.309,0.1,0.074,0.134,0.167,31.1
"Idaho",2021,40.5,46207.1381085262,37383.5932519532,91.776,0.5974,6392.69574240383,49412.5968721545,0.307,0.112,0.069,0.13,0.165,31.6
"Illinois",2018,25.3,66927.0178559878,40348.0967763208,100.556,0.6194,7155.54444363315,52701.7651634578,0.351,0.1,0.059,0.155,0.156,31.8
"Illinois",2019,24.5,67708.106040955,41325.6232075879,99.548,0.6202,7447.2563966931,54265.0894453133,0.358,0.113,0.057,0.145,0.161,31.6
"Illinois",2020,28.7,63364.0973583241,38921.0562949592,100.571,0.588,7067.23768200723,55760.5473864004,0.376,0.102,0.063,0.115,0.166,32.4
"Illinois",2021,26.6,67217.2138677831,42215.9704169852,101.412,0.6109,7799.01799310746,57453.5436140663,0.371,0.116,0.064,0.106,0.166,34.2
"Indiana",2018,33.4,55076.2549815197,37714.5266438025,92.752,0.592,7611.69783214002,47045.3948377544,0.271,0.125,0.082,0.211,0.157,34.1
"Indiana",2019,31.6,55114.7400285107,37808.8413344842,92.82,0.5896,8017.89127774958,48085.0518974502,0.269,0.124,0.073,0.192,0.161,35.3
"Indiana",2020,34.3,52908.4304896934,37296.9504620773,91.898,0.5661,7662.06217034854,51262.6460144129,0.289,0.139,0.086,0.183,0.165,36.8
"Indiana",2021,29.7,56365.9200543859,39777.240350526,92.735,0.5839,8598.18373202034,52792.3549782991,0.289,0.14,0.081,0.157,0.164,36.3
"Iowa",2018,31.7,60104.17903982,38121.2646310222,91.795,0.6595,6739.52826287597,49917.1700091913,0.29,0.1,0.065,0.166,0.17,35.3
"Iowa",2019,29.2,59687.5505139347,38254.9674016741,91.694,0.6562,7078.44833870564,50528.4193377643,0.293,0.103,0.062,0.164,0.175,33.9
"Iowa",2020,31.9,58653.0436088086,37273.8610110855,90.268,0.6299,6704.94403666303,53273.4736196123,0.295,0.114,0.073,0.146,0.179,36.5
"Iowa",2021,28.2,62066.9489747127,40264.1407591545,89.568,0.6423,7417.26290455388,55283.7064517531,0.305,0.112,0.07,0.141,0.178,36.4
"Kansas",2018,23.6,58322.2130970451,38225.5159875508,92.428,0.6615,6691.37677627527,51072.9525283553,0.338,0.116,0.068,0.172,0.159,34.4
"Kansas",2019,21.9,58473.5116091159,38546.617357415,92.771,0.6605,7020.11523646267,52320.6218073301,0.34,0.108,0.061,0.162,0.164,35.2
"Kansas",2020,25.3,57367.4086998314,37671.6989134146,92.249,0.6395,6683.94874058815,54727.7511735347,0.351,0.123,0.076,0.152,0.168,35.3
"Kansas",2021,22.6,58830.6292678975,40891.6914744503,91.157,0.6538,7375.55319712368,56011.4598004984,0.354,0.124,0.075,0.139,0.167,36
"Kentucky",2018,32.5,46162.9762530001,37369.5320469843,89.015,0.5707,6936.63723257194,43888.2279984569,0.248,0.137,0.1,0.234,0.164,36.6
"Kentucky",2019,32.1,47393.7327105184,37474.5868822539,89.529,0.5708,7226.11077399801,44977.4860425103,0.251,0.133,0.089,0.236,0.169,36.5
"Kentucky",2020,32.3,45766.2378575889,36797.587103115,89.039,0.5484,6871.58689678964,48138.0471641917,0.274,0.147,0.103,0.199,0.172,36.6
"Kentucky",2021,32.7,47611.4196346727,39633.5898392332,89.124,0.5677,8028.40019358322,49931.06759902,0.27,0.146,0.102,0.183,0.17,40.3
"Louisiana",2018,42.2,52625.8828376995,37427.7258787602,90.74,0.5849,6864.10469365988,47071.0927121761,0.243,0.141,0.083,0.205,0.155,36.8
"Louisiana",2019,41.4,52994.6261331434,37760.6536232838,91.21,0.5846,7229.44488398496,47801.4297901778,0.25,0.126,0.072,0.219,0.16,35.9
"Louisiana",2020,45.8,49192.1385551493,36975.9509715233,90.967,0.5574,7192.8239012964,50407.7035658637,0.272,0.16,0.096,0.164,0.164,38.1
"Louisiana",2021,42.9,50574.7663006057,40050.1134836565,91.276,0.5824,8304.06012580671,51494.2194870305,0.264,0.155,0.083,0.172,0.166,38.6
"Maine",2018,28.4,48396.9689117043,42421.7938444741,97.617,0.6302,8547.80640405898,46024.1797025817,0.315,0.106,0.083,0.178,0.206,30.4
"Maine",2019,25.9,49360.6663234668,44242.7236180007,94.86,0.6267,8888.77647275876,49229.4370233267,0.332,0.106,0.081,0.176,0.213,31.7
"Maine",2020,27.9,49444.6510120222,41445.4254570949,97.706,0.5963,8254.22039562703,50678.1894706272,0.335,0.113,0.085,0.145,0.218,31
"Maine",2021,27.4,51457.9905579137,44822.6813375756,97.205,0.6168,8881.4714668053,52003.865708033,0.36,0.117,0.09,0.133,0.217,31.9
"Maryland",2018,15.8,66682.2569726442,39363.6669990169,106.384,0.6218,7505.59743344795,53588.6863087954,0.408,0.12,0.061,0.125,0.154,30.9
"Maryland",2019,13.8,66551.0248640351,40075.6904103426,105.159,0.6194,7698.25726799963,55069.6861229837,0.409,0.11,0.051,0.127,0.159,32.3
"Maryland",2020,15.8,62938.5060110591,36907.7488921881,106.419,0.5867,7185.68393565417,55704.727123107,0.431,0.12,0.068,0.105,0.163,31
"Maryland",2021,16.1,65737.8036831476,39551.3562799918,106.223,0.6074,7842.89210168739,56929.7170185647,0.425,0.128,0.065,0.093,0.163,34.3
"Massachusetts",2018,19.5,79804.0430736193,45410.9363637619,107.621,0.7054,9388.51181269964,60891.9403687686,0.445,0.086,0.058,0.134,0.165,25.7
"Massachusetts",2019,17.7,82220.6678763869,46247.3211836107,107.369,0.707,9811.00769923495,63278.0718412455,0.45,0.084,0.062,0.12,0.17,25.2
"Massachusetts",2020,18.6,79505.1380635242,42494.8279157183,109.117,0.6576,9100.7098759829,65084.7681492522,0.469,0.091,0.064,0.096,0.174,24.4
"Massachusetts",2021,17.7,84683.5124304511,47476.2829252799,106.555,0.6835,10141.2938198976,68055.4645484993,0.466,0.101,0.063,0.094,0.174,27.4
"Michigan",2018,34.3,51766.754085908,40340.2940203156,94.38,0.5724,7010.45625472252,46931.7228481525,0.296,0.117,0.077,0.189,0.172,33
"Michigan",2019,33.9,51852.6699641339,40360.4156943471,95.288,0.5721,7330.0538898274,47442.0731166973,0.3,0.111,0.068,0.187,0.177,36
"Michigan",2020,36.9,49901.1726113222,38930.5628230461,94.557,0.5351,6778.3482861296,50950.3328689974,0.321,0.133,0.084,0.156,0.182,35.2
"Michigan",2021,34.4,52951.4110280803,41891.2012388737,94.253,0.5581,7469.94471932465,52064.8161136474,0.317,0.122,0.08,0.155,0.181,34.4
"Minnesota",2018,33.7,65070.1922087299,42100.6451907505,99.729,0.6737,8322.08844095223,52869.717345769,0.367,0.089,0.056,0.151,0.158,30.1
"Minnesota",2019,34.9,65374.6024563305,42627.7459238475,98.994,0.6708,8467.55603911745,54357.8375326617,0.373,0.088,0.054,0.146,0.163,30.1
"Minnesota",2020,35,62720.9251658362,40614.8530644927,97.803,0.6318,7762.47790660774,57410.0869864928,0.379,0.1,0.066,0.13,0.168,30.7
"Minnesota",2021,33.1,65610.6456637878,42689.7904235179,98.423,0.6499,8662.75955878967,58376.887495358,0.389,0.104,0.065,0.122,0.168,32.4
"Mississippi",2018,46,36958.7590824617,34085.5814452771,86.095,0.5377,6141.62266606732,40646.5572186701,0.232,0.143,0.084,0.205,0.159,39.5
"Mississippi",2019,48.8,37141.2520004879,34095.5039549431,86.49,0.5401,6374.27763193308,41473.864379774,0.223,0.148,0.08,0.204,0.164,40.8
"Mississippi",2020,58,37149.7166632693,34128.7991343212,85.844,0.5319,6222.08339629517,44893.0933312509,0.245,0.172,0.099,0.174,0.169,39.7
